"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2013-01-01,5745,1136,1890,114,541,871,139,17600,227,515,1499,270,403,124,1720,2282,122
2013-02-01,4050,834,1532,113,330,602,98,12933,211,331,790,185,237,67,1378,2137,37
2013-03-01,4610,778,1491,100,378,762,123,14051,180,332,1050,289,273,74,1376,2160,75
2013-04-01,5443,1160,1892,130,437,905,144,16475,249,538,825,238,341,118,1690,2269,94
2013-05-01,6098,1284,1968,128,539,828,195,17997,295,573,994,363,431,122,1725,2356,97
2013-06-01,4002,874,1282,110,312,537,111,11258,177,376,593,204,226,90,1017,1277,70
2013-07-01,5040,1072,1603,151,465,754,147,14697,240,456,855,227,303,107,1538,1650,89
2013-08-01,4455,954,1498,99,339,641,96,12546,204,413,606,218,303,87,1180,1381,71
2013-09-01,4716,1013,1394,127,413,641,132,13263,241,447,634,276,304,111,1254,1483,76
2013-10-01,4771,974,1541,115,425,629,116,13723,237,440,865,252,316,102,1373,1487,79
2013-11-01,6365,1224,2012,158,544,989,162,17816,260,525,1083,289,402,136,1650,1926,91
2013-12-01,3701,833,1414,116,339,596,100,11450,197,405,732,181,215,75,1106,1357,81
2014-01-01,4668,805,1635,134,363,653,96,13528,245,432,1144,246,306,109,1262,1362,67
2014-02-01,4808,927,1882,138,401,854,138,15065,172,334,962,242,288,71,1435,2334,79
2014-03-01,5831,946,2011,143,436,796,133,17353,232,472,1098,320,336,90,1684,2760,63
2014-04-01,3876,736,1414,97,261,577,88,11366,190,337,592,159,226,82,978,1669,84
2014-05-01,6059,1215,2098,150,513,731,158,17258,296,550,832,246,368,127,1758,2066,91
2014-06-01,4170,899,1437,115,359,608,94,12179,203,469,578,205,289,100,1203,1372,78
2014-07-01,5159,1042,1997,136,428,766,108,15191,250,450,832,279,304,99,1481,1798,60
2014-08-01,4865,893,1647,150,400,769,133,13770,228,488,656,242,330,72,1289,1518,89
2014-09-01,5523,1156,1918,131,454,757,114,15684,203,431,893,277,356,152,1526,1703,90
2014-10-01,4321,787,1576,117,393,662,123,12454,173,397,724,250,282,93,1177,1290,89
2014-11-01,4516,873,1630,100,411,827,113,13491,214,434,834,220,316,87,1241,1611,64
2014-12-01,3619,668,1272,110,322,496,101,10393,168,271,657,150,248,74,1005,1186,46
2015-01-01,5105,999,2153,106,444,772,107,15798,188,399,1459,263,323,90,1462,1843,85
2015-02-01,4012,650,1515,105,337,543,89,12202,177,318,703,221,250,64,1185,1977,55
2015-03-01,5882,1051,2374,113,490,870,105,18277,213,458,1139,279,278,87,1795,3048,95
2015-04-01,5410,911,1786,115,376,649,79,14606,232,425,713,183,325,103,1355,1862,82
2015-05-01,5037,908,2037,136,402,611,138,14666,206,437,710,251,317,102,1488,1809,73
2015-06-01,5525,1053,1966,126,440,748,128,15516,197,437,772,233,379,109,1513,1799,90
2015-07-01,5239,882,1988,109,402,588,126,14568,207,445,689,229,317,105,1479,1678,85
2015-08-01,4774,931,1705,107,375,702,94,13517,185,433,601,244,305,109,1343,1528,80
2015-09-01,4953,948,1807,132,407,678,97,13646,191,425,706,205,272,81,1284,1390,70
2015-10-01,5192,794,1782,105,437,606,98,14002,209,465,769,217,311,91,1430,1409,87
2015-11-01,4730,877,1804,137,398,666,113,13668,192,410,779,237,290,106,1305,1525,99
2015-12-01,4215,820,1617,102,353,633,102,12265,167,317,734,168,315,85,1220,1337,80
2016-01-01,4555,877,1833,105,354,598,113,13502,204,390,1027,201,301,91,1268,1496,89
2016-02-01,4322,653,1851,90,322,567,66,13303,162,346,1097,234,252,82,1110,2049,100
2016-03-01,6741,1044,2633,117,453,872,111,19927,204,458,1122,304,450,111,2048,3192,67
2016-04-01,4812,756,1889,86,322,594,84,13792,227,364,772,199,263,87,1359,1904,74
2016-05-01,6936,1161,2635,152,499,796,150,18859,257,545,982,248,437,127,1656,2184,93
2016-06-01,4376,809,1692,116,332,493,74,12216,174,369,563,221,212,86,1313,1304,80
2016-07-01,5147,931,1967,103,382,670,118,14260,202,421,706,222,382,105,1327,1493,84
2016-08-01,5726,949,2070,136,381,673,108,15420,208,460,767,285,361,109,1470,1632,85
2016-09-01,6519,1164,2340,119,462,876,113,17724,230,475,884,261,427,118,1700,1935,101
2016-10-01,4964,860,1782,90,349,595,111,13390,188,397,684,214,327,94,1326,1349,59
2016-11-01,5025,805,1928,111,327,574,88,13839,197,387,849,242,326,109,1282,1519,70
2016-12-01,3364,592,1084,55,229,478,86,9096,115,228,650,157,199,71,754,993,41
2017-01-01,4143,701,1556,73,284,560,83,11898,190,317,1077,195,225,69,1129,1240,55
